Epsilon,Accuracy,F1 Score,Best Val Accuracy
No DP,0.7574503421783447,0.7615355245877411,0.7938741445541382
ε=10.0,0.5173841118812561,0.516624140795674,0.5488410592079163
ε=1.0,0.3700331151485443,0.29911093215883955,0.3882450461387634
ε=0.1,0.2963576018810272,0.21782240048407567,0.3071191906929016
